UnixTime,104,107,10A,10B,10E,110,202
224,静止,平飞,平飞,平飞,静止,静止,平飞
225,静止,平飞,平飞,平飞,静止,静止,平飞
226,静止,平飞,平飞,平飞,静止,静止,平飞
227,静止,平飞,平飞,平飞,静止,静止,平飞
228,静止,平飞,平飞,平飞,静止,静止,平飞
229,静止,平飞,平飞,平飞,静止,静止,平飞
230,静止,平飞,平飞,平飞,静止,静止,平飞
231,静止,平飞,平飞,平飞,静止,静止,平飞
232,静止,平飞,平飞,平飞,静止,静止,平飞
233,静止,平飞,平飞,平飞,静止,静止,平飞
234,静止,平飞,平飞,平飞,静止,静止,平飞
235,静止,平飞,平飞,平飞,静止,静止,平飞
236,静止,平飞,平飞,平飞,静止,静止,平飞
237,静止,平飞,平飞,平飞,静止,静止,平飞
238,静止,平飞,平飞,平飞,静止,静止,平飞
239,静止,平飞,平飞,平飞,静止,静止,平飞
240,静止,平飞,平飞,平飞,静止,静止,平飞
241,静止,平飞,平飞,平飞,静止,静止,平飞
242,静止,平飞,平飞,平飞,静止,静止,平飞
243,静止,平飞,平飞,平飞,静止,静止,平飞
244,静止,平飞,平飞,平飞,静止,静止,平飞
245,静止,平飞,平飞,平飞,静止,静止,平飞
246,静止,平飞,平飞,平飞,静止,静止,平飞
247,静止,平飞,平飞,平飞,静止,静止,平飞
248,静止,平飞,平飞,平飞,静止,静止,平飞
249,静止,平飞,平飞,平飞,静止,静止,平飞
250,静止,平飞,平飞,平飞,静止,静止,平飞
251,静止,平飞,平飞,平飞,静止,静止,平飞
252,静止,平飞,平飞,平飞,静止,静止,平飞
253,静止,平飞,平飞,平飞,静止,静止,平飞
254,静止,平飞,平飞,平飞,静止,静止,平飞
255,静止,平飞,平飞,平飞,静止,静止,平飞
256,静止,平飞,平飞,平飞,静止,静止,平飞
257,静止,平飞,平飞,平飞,静止,静止,平飞
258,静止,平飞,平飞,平飞,静止,静止,平飞
259,静止,平飞,平飞,平飞,静止,静止,平飞
260,静止,平飞,平飞,平飞,静止,静止,平飞
261,静止,平飞,平飞,平飞,静止,静止,平飞
262,静止,平飞,平飞,平飞,静止,静止,平飞
263,静止,平飞,平飞,平飞,静止,静止,平飞
264,静止,平飞,平飞,平飞,静止,静止,平飞
265,静止,平飞,平飞,平飞,静止,静止,平飞
266,静止,平飞,平飞,平飞,静止,静止,平飞
267,静止,平飞,平飞,平飞,静止,静止,平飞
268,静止,平飞,平飞,平飞,静止,静止,平飞
269,静止,平飞,平飞,平飞,静止,静止,平飞
270,静止,平飞,平飞,平飞,静止,静止,平飞
271,静止,平飞,平飞,平飞,静止,静止,平飞
272,静止,平飞,平飞,平飞,静止,静止,平飞
273,静止,平飞,平飞,平飞,静止,静止,平飞
274,静止,平飞,平飞,平飞,静止,静止,平飞
275,静止,平飞,平飞,平飞,静止,静止,平飞
276,静止,平飞,平飞,平飞,静止,静止,平飞
277,静止,平飞,平飞,平飞,静止,静止,平飞
278,静止,平飞,平飞,平飞,静止,静止,平飞
279,静止,平飞,平飞,平飞,静止,静止,平飞
280,静止,平飞,平飞,平飞,静止,静止,平飞
281,静止,平飞,平飞,平飞,静止,静止,平飞
282,静止,平飞,平飞,平飞,静止,静止,平飞
283,静止,平飞,平飞,平飞,静止,静止,平飞
284,上升飞行,平飞,平飞,平飞,静止,静止,平飞
285,平飞,平飞,平飞,平飞,静止,静止,平飞
286,平飞,平飞,平飞,平飞,静止,静止,平飞
287,平飞,平飞,平飞,平飞,静止,静止,平飞
288,平飞,平飞,平飞,平飞,静止,静止,平飞
289,平飞,平飞,平飞,平飞,静止,静止,平飞
290,平飞,平飞,平飞,平飞,静止,静止,平飞
291,平飞,平飞,平飞,平飞,静止,静止,平飞
292,平飞,平飞,平飞,平飞,静止,静止,平飞
293,平飞,平飞,平飞,平飞,静止,静止,平飞
294,平飞,平飞,平飞,平飞,静止,静止,平飞
295,平飞,平飞,平飞,平飞,静止,静止,平飞
296,平飞,平飞,平飞,平飞,静止,静止,平飞
297,平飞,平飞,平飞,平飞,静止,静止,平飞
298,平飞,平飞,平飞,平飞,静止,静止,平飞
299,平飞,平飞,平飞,平飞,静止,静止,平飞
300,平飞,平飞,平飞,平飞,静止,静止,平飞
301,平飞,平飞,平飞,平飞,静止,静止,平飞
302,平飞,平飞,平飞,平飞,静止,静止,平飞
303,平飞,平飞,平飞,平飞,静止,静止,平飞
304,平飞,平飞,平飞,平飞,静止,静止,平飞
305,平飞,平飞,平飞,平飞,静止,静止,平飞
306,平飞,平飞,平飞,平飞,静止,静止,平飞
307,平飞,平飞,平飞,平飞,静止,静止,平飞
308,平飞,平飞,平飞,平飞,静止,静止,平飞
309,平飞,平飞,平飞,平飞,静止,静止,平飞
310,平飞,平飞,平飞,平飞,静止,静止,平飞
311,平飞,平飞,平飞,平飞,静止,静止,平飞
312,平飞,平飞,平飞,平飞,静止,静止,平飞
313,平飞,平飞,平飞,平飞,静止,静止,平飞
314,平飞,平飞,平飞,平飞,静止,静止,平飞
315,平飞,平飞,平飞,平飞,静止,静止,平飞
316,平飞,平飞,平飞,平飞,静止,静止,平飞
317,平飞,平飞,平飞,平飞,静止,静止,平飞
318,平飞,平飞,平飞,平飞,静止,静止,平飞
319,平飞,平飞,平飞,平飞,静止,静止,平飞
320,平飞,平飞,平飞,平飞,静止,静止,平飞
321,平飞,平飞,平飞,平飞,静止,静止,平飞
322,平飞,平飞,平飞,平飞,静止,静止,平飞
323,平飞,平飞,平飞,平飞,静止,静止,平飞
324,平飞,平飞,平飞,平飞,静止,静止,平飞
325,平飞,平飞,平飞,平飞,静止,静止,平飞
326,平飞,平飞,平飞,平飞,静止,静止,平飞
327,平飞,平飞,平飞,平飞,静止,静止,平飞
328,平飞,平飞,平飞,平飞,静止,静止,平飞
329,平飞,平飞,平飞,平飞,静止,静止,平飞
330,平飞,平飞,平飞,平飞,静止,静止,平飞
331,平飞,平飞,平飞,平飞,静止,静止,平飞
332,平飞,平飞,平飞,平飞,静止,静止,平飞
333,平飞,平飞,平飞,平飞,静止,静止,平飞
334,平飞,平飞,平飞,平飞,静止,静止,平飞
335,平飞,平飞,平飞,平飞,静止,静止,平飞
336,平飞,平飞,平飞,平飞,静止,静止,平飞
337,平飞,平飞,平飞,平飞,静止,静止,平飞
338,平飞,平飞,平飞,平飞,静止,静止,平飞
339,平飞,平飞,平飞,平飞,静止,静止,平飞
340,平飞,平飞,平飞,平飞,静止,静止,平飞
341,平飞,平飞,平飞,平飞,静止,静止,平飞
342,平飞,平飞,平飞,平飞,静止,静止,平飞
343,平飞,平飞,平飞,平飞,静止,静止,平飞
344,平飞,平飞,平飞,平飞,静止,静止,平飞
345,平飞,平飞,平飞,平飞,静止,静止,平飞
346,平飞,平飞,平飞,平飞,静止,静止,平飞
347,平飞,平飞,平飞,平飞,静止,静止,平飞
348,平飞,平飞,平飞,平飞,静止,静止,平飞
349,平飞,平飞,平飞,平飞,静止,静止,平飞
350,平飞,平飞,平飞,平飞,静止,静止,平飞
