UnixTime,105,107,108,10A,10B,10F,202
253,平飞,平飞,平飞,平飞,平飞,静止,平飞
254,平飞,平飞,平飞,平飞,平飞,静止,平飞
255,平飞,平飞,平飞,平飞,平飞,静止,平飞
256,平飞,平飞,平飞,平飞,平飞,静止,平飞
257,平飞,平飞,平飞,平飞,平飞,静止,平飞
258,平飞,平飞,平飞,平飞,平飞,静止,平飞
259,平飞,平飞,平飞,平飞,平飞,静止,平飞
260,平飞,平飞,平飞,平飞,平飞,静止,平飞
261,平飞,平飞,平飞,平飞,平飞,静止,平飞
262,平飞,平飞,平飞,平飞,平飞,静止,平飞
263,平飞,平飞,平飞,平飞,平飞,静止,平飞
264,平飞,平飞,平飞,平飞,平飞,静止,平飞
265,平飞,平飞,平飞,平飞,平飞,静止,平飞
266,平飞,平飞,平飞,平飞,平飞,静止,平飞
267,平飞,平飞,平飞,平飞,平飞,静止,平飞
268,平飞,平飞,平飞,平飞,平飞,静止,平飞
269,平飞,平飞,平飞,平飞,平飞,静止,平飞
270,平飞,平飞,平飞,平飞,平飞,静止,平飞
271,平飞,平飞,平飞,平飞,平飞,静止,平飞
272,平飞,平飞,平飞,平飞,平飞,静止,平飞
273,平飞,平飞,平飞,平飞,平飞,静止,平飞
274,平飞,平飞,平飞,平飞,平飞,静止,平飞
275,平飞,平飞,平飞,平飞,平飞,静止,平飞
276,平飞,平飞,平飞,平飞,平飞,静止,平飞
277,平飞,平飞,平飞,平飞,平飞,静止,平飞
278,平飞,平飞,平飞,平飞,平飞,静止,平飞
279,平飞,平飞,平飞,平飞,平飞,静止,平飞
280,平飞,平飞,平飞,平飞,平飞,静止,平飞
281,平飞,平飞,平飞,平飞,平飞,静止,平飞
282,平飞,平飞,平飞,平飞,平飞,静止,平飞
283,平飞,平飞,平飞,平飞,平飞,静止,平飞
284,平飞,平飞,平飞,平飞,平飞,静止,平飞
285,平飞,平飞,平飞,平飞,平飞,静止,平飞
286,平飞,平飞,平飞,平飞,平飞,静止,平飞
287,平飞,平飞,平飞,平飞,平飞,静止,平飞
288,平飞,平飞,平飞,平飞,平飞,静止,平飞
289,平飞,平飞,平飞,平飞,平飞,静止,平飞
290,平飞,平飞,平飞,平飞,平飞,静止,平飞
291,平飞,平飞,平飞,平飞,平飞,静止,平飞
